"Name","Rating","Rarity","Preferred Position","Nation","League","Team","Price Limits","Last Sale Price","Discard Value","Contract","Untradeable","Loans","DefinitionId","IsDuplicate","IsInActive11","Alternate Positions","ExternalPrice"
"Bonucci","88","UCL Road to the Knockouts","CB","Italy","Bundesliga","Union Berlin","Min:10750 Max:50000","0","0","0","true","true","67293208","false","false","CB","26750"
"Di María","88","UCL Road to the Knockouts","CF","Argentina","Liga Portugal","SL Benfica","Min:10750 Max:60000","0","0","7","true","true","50515546","false","false","RM,CF,RW,ST","31000"
"Kvaratskhelia","88","Team of the Week","LW","Georgia","Serie A TIM","Napoli FC","Min:10750 Max:140000","0","0","7","true","false","100910931","false","false","LM,RW,LW","38000"
"Iago Aspas","88","Fantasy FC","ST","Spain","LALIGA EA SPORTS","RC Celta","Min:20000 Max:380000","0","0","7","true","false","67301493","false","false","CF,ST","32000"
"Diakité","87","Future Stars","RB","France","Ligue 1 Uber Eats","LOSC Lille","--NA--","0","10614","7","false","false","50578213","false","true","RWB,RB,CB,LB","16000"
"Haaland","87","Beats","ST","Norway","Premier League","Manchester City","--NA--","0","0","12","true","false","67347949","false","true","CF,ST","0"
"Magull","87","Rare","CAM","Germany","GPFBL","FC Bayern München","--NA--","0","0","26","true","false","233837","false","false","CM,CAM","19750"
"Ødegaard","87","Rare","CAM","Norway","Premier League","Arsenal","--NA--","0","0","7","true","false","222665","false","false","CM,CAM","17000"
"Thiago","87","Triple Threat","CM","Spain","Premier League","Liverpool","Min:10750 Max:75000","0","0","5","true","true","50521157","false","false","CM","40250"
"Donnarumma","87","Rare","GK","Italy","Ligue 1 Uber Eats","Paris SG","Min:5100 Max:25000","0","0","0","true","false","230621","false","false","GK","23750"
"Pajor","87","Rare","ST","Poland","GPFBL","VfL Wolfsburg","Min:5100 Max:25000","0","0","0","true","false","241846","false","false","CF,ST","18000"
"Neuer","87","Rare","GK","Germany","Bundesliga","FC Bayern München","Min:5100 Max:27500","0","0","9","true","false","167495","false","false","GK","13250"
"Vilhjálmsdóttir","87","Future Stars","RM","Iceland","GPFBL","Leverkusen","Min:1000 Max:10000","0","0","7","true","false","67373755","false","false","RM,RW","0"
"Kiwior","86","Future Stars","CB","Poland","Premier League","Arsenal","--NA--","12250","10492","9","false","false","50597341","false","true","CB,LB,CDM","12000"
"Szoboszlai","86","Radioactive","CM","Hungary","Premier League","Liverpool","--NA--","0","0","0","true","true","67345636","false","false","CM,CAM","84500"
"de Ligt","86","Rare","CB","Netherlands","Bundesliga","FC Bayern München","--NA--","0","0","5","true","false","235243","false","false","CB","13500"
"Kanté","86","Rare","CDM","France","ROSHN Saudi League","Al Ittihad","Min:3600 Max:16000","0","0","7","true","false","215914","false","false","CDM,CM","8400"
"Grealish","86","UEFA EURO 2024 Player","LW","England","Premier League","Manchester City","Min:10500 Max:190000","0","0","13","true","false","67315381","false","false","LM,LW","35000"
"Ricci","86","Future Stars","CDM","Italy","Serie A TIM","Torino","Min:10500 Max:30000","0","0","7","true","false","50585121","false","false","CDM,CM","11500"
"Little","86","Rare","CM","Scotland","Barclays WSL","Arsenal","Min:3600 Max:16000","0","0","7","true","false","245872","false","false","CDM,CM,CAM","8400"
"Starke","86","Fantasy FC","ST","Germany","GPFBL","RB Leipzig","Min:11000 Max:190000","0","0","7","true","false","50593737","false","false","CAM,CF,ST","11250"
"Varane","85","Rare","CB","France","Premier League","Manchester Utd","--NA--","0","0","23","true","false","201535","false","true","CB","6400"
"Di Lorenzo","85","Rare","RB","Italy","Serie A TIM","Napoli FC","--NA--","0","0","24","true","false","217870","false","false","RWB,RB","5700"
"Stones","85","Rare","CB","England","Premier League","Manchester City","--NA--","0","0","28","true","false","203574","false","false","RB,CB","5600"
"Riqui Puig","85","Radioactive","CM","Spain","MLS","LA Galaxy","Min:10500 Max:30000","0","0","2","true","true","50574464","false","false","CM,CAM","14750"
"Shaw","85","Rare","ST","Jamaica","Barclays WSL","Manchester City","Min:2100 Max:10000","0","0","7","true","false","246219","false","false","CF,ST","5300"
"Minge","85","SQUAD FOUNDATIONS","CM","Germany","GPFBL","SC Freiburg","Min:1000 Max:10000","0","0","0","true","false","50596711","false","false","CM","0"
"Berardi","85","Rare","RW","Italy","Serie A TIM","Sassuolo","Min:2100 Max:10000","0","0","19","true","false","210935","false","false","RM,RW","5400"
"Rapinoe","85","Rare","LM","United States","NWSL","Seattle Reign","Min:2100 Max:16000","0","0","7","true","false","226328","false","false","LM,LW","12250"
"Sheridan","85","Rare","GK","Canada","NWSL","San Diego Wave","Min:2100 Max:10000","0","0","7","true","false","237673","false","false","GK","5500"
"Bounou","85","Rare","GK","Morocco","ROSHN Saudi League","Al Hilal","Min:2100 Max:10000","0","0","7","true","false","209981","false","false","GK","5400"
"Booth","85","Team of the Week","RM","United States","Eredivisie","FC Utrecht","Min:10500 Max:37500","0","0","7","true","false","50588535","false","false","RM,CAM,RW","30000"
"van Amersfoort","85","Team of the Week","ST","Netherlands","Eredivisie","sc Heerenveen","Min:10500 Max:37500","0","0","7","true","false","50556835","false","false","CM,CAM,CF,ST","30000"
"Lührßen","84","SQUAD FOUNDATIONS","LM","Germany","GPFBL","SV Werder Bremen","--NA--","0","0","7","true","false","50596769","false","false","LB,CM,LM,LW","0"
"Kingsbury","84","Rare","GK","United States","NWSL","Washington Spirit","Min:1100 Max:10000","0","0","7","true","false","266816","false","false","GK","1900"
"Bruno Guimarães","84","Rare","CM","Brazil","Premier League","Newcastle Utd","Min:1100 Max:10000","0","0","25","true","false","247851","false","false","CDM,CM","2100"
"Stanway","84","Rare","CDM","England","GPFBL","FC Bayern München","Min:1100 Max:10000","0","0","0","true","false","243404","false","false","CDM,CM","2000"
"Koke","84","Rare","CDM","Spain","LALIGA EA SPORTS","Atlético de Madrid","Min:1100 Max:10000","0","0","7","true","false","193747","false","false","CDM,CM","1900"
"Tchouaméni","84","Rare","CDM","France","LALIGA EA SPORTS","Real Madrid","Min:1100 Max:10000","0","0","7","true","false","241637","false","false","CDM,CM","2200"
"Ilestedt","84","Rare","CB","Sweden","Barclays WSL","Arsenal","Min:1100 Max:10000","0","0","4","true","false","226979","false","false","CB","2000"
"Catarina Macario","84","Rare","CAM","United States","Barclays WSL","Chelsea","Min:1100 Max:10000","0","0","7","true","false","262330","false","false","CM,CAM,ST","2000"
"Martínez","84","Rare","CB","Argentina","Premier League","Manchester Utd","Min:1100 Max:10000","0","0","0","true","false","239301","false","false","CB","2000"
"Højbjerg","84","Rare","CDM","Denmark","Premier League","Spurs","Min:1100 Max:10000","0","0","7","true","false","213648","false","false","CDM,CM","2000"
"Álex Remiro","84","Rare","GK","Spain","LALIGA EA SPORTS","Real Sociedad","Min:1100 Max:10000","0","0","2","true","false","227127","false","false","GK","2000"
"Maddison","84","Rare","CAM","England","Premier League","Spurs","Min:1100 Max:10000","0","0","2","true","false","220697","false","false","RM,CM,CAM","2000"
"Gulácsi","84","Rare","GK","Hungary","Bundesliga","RB Leipzig","Min:1100 Max:10000","0","0","7","true","false","185122","false","false","GK","1900"
"Rúben Neves","84","Rare","CDM","Portugal","ROSHN Saudi League","Al Hilal","Min:1100 Max:10000","0","0","7","true","false","224293","false","false","CDM,CM","1900"
"Ramsdale","84","Rare","GK","England","Premier League","Arsenal","Min:1100 Max:10000","0","0","7","true","false","233934","false","false","GK","2300"
"Dallmann","84","Rare","CAM","Germany","GPFBL","FC Bayern München","Min:1100 Max:10000","0","0","7","true","false","239345","false","false","CM,CAM","2000"
"Russo","84","Rare","ST","England","Barclays WSL","Arsenal","Min:1100 Max:10000","0","0","7","true","false","258980","false","false","CAM,CF,ST","2000"
"Luis Alberto","84","Rare","CM","Spain","Serie A TIM","Latium","Min:1100 Max:10000","0","0","7","true","false","198706","false","false","CM","1900"
"Fishlock","84","Rare","CM","Wales","NWSL","Seattle Reign","Min:1100 Max:10000","0","0","7","true","false","267201","false","false","CDM,CM,CAM","2300"
"Weir","84","Rare","CAM","Scotland","Liga F","Real Madrid CF","Min:1100 Max:10000","0","0","7","true","false","245879","false","false","CM,CAM","2100"
"Martens","84","Rare","LW","Netherlands","D1 Arkema","Paris SG","Min:1100 Max:10000","0","0","7","true","false","233748","false","false","LM,LW","2000"
"Neville","84","Rare","RB","England","Barclays WSL","Spurs","Min:1100 Max:10000","0","0","7","true","false","265252","false","false","RWB,RB,RM,LM","3000"
"Fabinho","84","Rare","CDM","Brazil","ROSHN Saudi League","Al Ittihad","Min:1100 Max:10000","0","0","7","true","false","209499","false","false","CDM","1900"
"Sané","84","Rare","RM","Germany","Bundesliga","FC Bayern München","Min:1100 Max:10000","0","0","7","true","false","222492","false","false","RM,LM,RW","2000"
"Depay","84","Rare","CF","Netherlands","LALIGA EA SPORTS","Atlético de Madrid","Min:1100 Max:10000","0","0","7","true","false","202556","false","false","CF,ST,LW","2000"
"Shaw","83","Rare","LB","England","Premier League","Manchester Utd","--NA--","850","589","12","false","false","205988","false","false","CB,LB,LWB","900"
"Hegering","83","Rare","CB","Germany","GPFBL","VfL Wolfsburg","Min:850 Max:10000","0","0","16","true","false","248715","false","false","CB","900"
"Oyarzabal","83","Rare","LM","Spain","LALIGA EA SPORTS","Real Sociedad","Min:850 Max:10000","0","0","7","true","false","230142","false","false","RM,LM,LW","900"
"Eriksen","83","Rare","CM","Denmark","Premier League","Manchester Utd","Min:850 Max:10000","0","0","4","true","false","190460","false","false","CDM,CM","900"
"Schmidt","83","Rare","CM","Canada","NWSL","Houston Dash","Min:850 Max:10000","0","0","7","true","false","227405","false","false","CDM,CM","900"
"Janssens","83","SQUAD FOUNDATIONS","RW","Belgium","GPFBL","TSG Hoffenheim","Min:1000 Max:10000","0","0","4","true","false","50600099","false","false","RM,RW,ST","0"
"Vicky Losada","83","SQUAD FOUNDATIONS","CM","Spain","Barclays WSL","Brighton","Min:1000 Max:10000","0","0","7","true","false","50558849","false","false","CM","0"
"Pavard","83","Rare","CB","France","Serie A TIM","Inter","Min:850 Max:10000","0","0","7","true","false","50558499","false","false","RB,CB","900"
"Vlahović","83","Rare","ST","Serbia","Serie A TIM","Juventus","Min:850 Max:10000","0","0","7","true","false","246430","false","false","CF,ST","900"
"Gerard Moreno","83","Rare","ST","Spain","LALIGA EA SPORTS","Villarreal CF","Min:850 Max:10000","0","0","2","true","false","208093","false","false","RM,CF,ST","900"
"Rivera","83","Team of the Week","CAM","Puerto Rico","MLS","Orlando City","Min:10250 Max:47500","0","0","7","true","false","50593233","false","false","LM,CAM,LW","35000"
"Marco Asensio","83","Rare","RW","Spain","Ligue 1 Uber Eats","Paris SG","Min:850 Max:10000","0","0","7","true","false","220834","false","false","RM,RW","900"
"Jorginho","83","Rare","CDM","Italy","Premier League","Arsenal","Min:850 Max:10000","0","0","7","true","false","205498","false","false","CDM,CM","900"
"Rodríguez","83","Rare","CDM","Argentina","LALIGA EA SPORTS","Real Betis","Min:850 Max:10000","0","0","7","true","false","225659","false","false","CDM","900"
"Freigang","83","Rare","CAM","Germany","GPFBL","Frankfurt","Min:850 Max:10000","0","0","7","true","false","261773","false","false","CAM,ST","900"
"Acerbi","83","Rare","CB","Italy","Serie A TIM","Inter","Min:850 Max:10000","0","0","7","true","false","199845","false","false","CB","900"
"Franch","83","Rare","GK","United States","NWSL","KC Current","Min:850 Max:10000","0","0","7","true","false","232077","false","false","GK","900"
"Blundell","83","Rare","LB","England","Barclays WSL","Manchester Utd","Min:850 Max:10000","0","0","5","true","false","247797","false","false","RB,LB,LWB","900"
"Dani Olmo","83","Rare","CAM","Spain","Bundesliga","RB Leipzig","Min:850 Max:10000","0","0","7","true","false","244260","false","false","CAM,CF","900"
"Botman","83","Rare","CB","Netherlands","Premier League","Newcastle Utd","Min:850 Max:10000","0","0","7","true","false","251809","false","false","CB","900"
"Hofmann","83","Rare","CAM","Germany","Bundesliga","Leverkusen","Min:850 Max:10000","0","0","7","true","false","210324","false","false","RM,LM,CAM","900"
"Gilles","83","Rare","CB","Canada","D1 Arkema","OL","Min:850 Max:10000","0","0","7","true","false","247513","false","false","CB","900"
"Peyraud-Magnin","83","Rare","GK","France","Calcio A Femminile","Juventus","Min:850 Max:10000","0","0","7","true","false","246178","false","false","GK","900"
"André Luís","83","Team of the Week","ST","Brazil","Liga Portugal","Moreirense FC","Min:10250 Max:45000","0","0","7","true","false","50577741","false","false","CF,ST","32250"
"Gavi","83","Rare","CM","Spain","LALIGA EA SPORTS","FC Barcelona","Min:850 Max:10000","0","0","7","true","false","264240","false","false","CM,LW","900"
"Pau Torres","83","Rare","CB","Spain","Premier League","Aston Villa","Min:850 Max:10000","0","0","7","true","false","241464","false","false","CB","900"
"Bourdieu","83","Rare","ST","France","D1 Arkema","Paris FC","Min:850 Max:10000","0","0","7","true","false","264968","false","false","CF,ST","900"
"Naschenweng","83","Rare","LB","Austria","GPFBL","FC Bayern München","Min:850 Max:10000","0","0","7","true","false","264994","false","false","LB,LWB,LM","900"
"Naeher","83","Rare","GK","United States","NWSL","Chicago Red Stars","Min:850 Max:10000","0","0","7","true","false","226335","false","false","GK","900"
"Galton","83","Rare","LM","England","Barclays WSL","Manchester Utd","Min:850 Max:10000","0","0","7","true","false","265275","false","false","LM,CAM,LW","900"
"Brozović","83","Rare","CDM","Croatia","ROSHN Saudi League","Al Nassr","Min:850 Max:10000","0","0","7","true","false","216352","false","false","CDM","900"
"Unai Simón","83","Rare","GK","Spain","LALIGA EA SPORTS","Athletic Club","Min:850 Max:10000","0","0","7","true","false","230869","false","false","GK","900"
"Rauch","83","Rare","LB","Germany","GPFBL","VfL Wolfsburg","Min:850 Max:10000","0","0","7","true","false","233838","false","false","LB,LWB","1600"
"Mancini","83","Rare","CB","Italy","Serie A TIM","Roma FC","Min:850 Max:10000","0","0","7","true","false","229582","false","false","CB","900"
"Pellegrini","83","Rare","CAM","Italy","Serie A TIM","Roma FC","Min:850 Max:10000","0","0","7","true","false","228251","false","false","CM,CAM,CF","900"
"Palhinha","83","Rare","CDM","Portugal","Premier League","Fulham","Min:850 Max:10000","0","0","7","true","false","229391","false","false","CDM,CM","900"
"Eriksson","83","Rare","CB","Sweden","GPFBL","FC Bayern München","Min:850 Max:10000","0","0","7","true","false","226998","false","false","CB,LB","900"
"Schick","83","Rare","ST","Czech Republic","Bundesliga","Leverkusen","Min:850 Max:10000","0","0","7","true","false","234236","false","false","CF,ST","900"
"Sellner","83","Rare","LM","Germany","GPFBL","VfL Wolfsburg","Min:850 Max:10000","0","0","7","true","false","262058","false","false","LM,LW","900"
"Sergio Gómez","82","In-Progress Future Stars Evolution","LB","Spain","Premier League","Manchester City","--NA--","0","0","11","true","false","50573459","false","true","LB,LWB,CDM","0"
"van de Donk","82","Rare","CAM","Netherlands","D1 Arkema","OL","--NA--","0","582","7","false","false","233751","false","false","CM,CAM","750"
"Wilson","82","Rare","ST","England","Premier League","Newcastle Utd","Min:700 Max:10000","650","582","16","false","false","196978","false","false","CF,ST","750"
"Lohmann","82","Common","CAM","Germany","GPFBL","FC Bayern München","Min:350 Max:10000","0","291","7","false","false","247791","false","false","RM,CAM","750"
"England","82","Common","ST","England","Barclays WSL","Spurs","Min:350 Max:10000","0","0","0","true","false","256489","false","false","CF,ST","750"
"Hagel","82","Rare","CM","Germany","GPFBL","VfL Wolfsburg","Min:700 Max:10000","0","0","23","true","false","264986","false","false","CM,LM","750"
"Schough","82","Common","LW","Sweden","Sverige Liga","FC Rosengård","Min:350 Max:10000","0","0","0","true","false","226985","false","false","LM,ST,LW","700"
"Werner","82","Rare","ST","Germany","Bundesliga","RB Leipzig","Min:700 Max:10000","0","0","27","true","false","212188","false","false","CF,ST","900"
"Maanum","82","Rare","CM","Norway","Barclays WSL","Arsenal","Min:700 Max:10000","0","0","0","true","false","239761","false","false","CDM,CM,CAM","750"
"Javi Galán","82","Rare","LB","Spain","LALIGA EA SPORTS","Atlético de Madrid","Min:700 Max:10000","0","0","7","true","false","231591","false","false","LB,LWB","750"
"Bentancur","82","Rare","CM","Uruguay","Premier League","Spurs","Min:700 Max:10000","0","0","23","true","false","227535","false","false","CDM,CM","750"
"Tielemans","82","Common","CM","Belgium","Premier League","Aston Villa","Min:350 Max:10000","0","0","7","true","false","216393","false","false","CDM,CM","750"
"Mazraoui","82","Rare","RB","Morocco","Bundesliga","FC Bayern München","Min:700 Max:10000","0","0","7","true","false","236401","false","false","RWB,RB","750"
"Fernando","82","Rare","CDM","Brazil","LALIGA EA SPORTS","Sevilla FC","Min:700 Max:10000","0","0","7","true","false","184134","false","false","CB,CDM","1100"
"Romero","82","Rare","CB","Argentina","Premier League","Spurs","Min:700 Max:10000","0","0","5","true","false","232488","false","false","CB","750"
"Lopes","82","Rare","GK","Portugal","Ligue 1 Uber Eats","OL","Min:700 Max:10000","0","0","7","true","false","199482","false","false","GK","750"
"Götze","82","Rare","CAM","Germany","Bundesliga","Frankfurt","Min:700 Max:10000","0","0","7","true","false","192318","false","false","LM,CAM,CF","750"
"Flekken","82","Rare","GK","Netherlands","Premier League","Brentford","Min:700 Max:10000","0","0","4","true","false","211738","false","false","GK","750"
"Ferran Torres","82","Rare","LW","Spain","LALIGA EA SPORTS","FC Barcelona","Min:700 Max:10000","0","0","2","true","false","241461","false","false","LM,RW,ST,LW","750"
"Mario Hermoso","82","Rare","CB","Spain","LALIGA EA SPORTS","Atlético de Madrid","Min:700 Max:10000","0","0","7","true","false","229668","false","false","CB","750"
"Pawollek","82","Rare","CM","Poland","GPFBL","Frankfurt","Min:700 Max:10000","0","0","7","true","false","50596602","false","false","CDM,CM","750"
"Molina","82","Rare","RB","Argentina","LALIGA EA SPORTS","Atlético de Madrid","Min:700 Max:10000","0","0","7","true","false","233084","false","false","RWB,RB,RM","750"
"Périsset","82","Rare","RB","France","Barclays WSL","Chelsea","Min:700 Max:10000","0","0","7","true","false","236428","false","false","RWB,RB,CB,LB","750"
"Núñez","82","Rare","ST","Uruguay","Premier League","Liverpool","Min:700 Max:10000","0","0","7","true","false","253072","false","false","CF,ST,LW","750"
"Openda","82","Rare","ST","Belgium","Bundesliga","RB Leipzig","Min:700 Max:10000","0","0","7","true","false","243580","false","false","CF,ST","750"
"Carvajal","82","Rare","RB","Spain","LALIGA EA SPORTS","Real Madrid","Min:700 Max:10000","0","0","7","true","false","204963","false","false","RWB,RB","750"
"João Mário","82","Rare","RM","Portugal","Liga Portugal","SL Benfica","Min:700 Max:10000","0","0","7","true","false","212814","false","false","RM,CM,LM,RW","750"
"Gayà","82","Rare","LB","Spain","LALIGA EA SPORTS","Valencia CF","Min:700 Max:10000","0","0","7","true","false","211688","false","false","LB,LWB","750"
"Rafaelle","82","Rare","CB","Brazil","NWSL","Orlando Pride","Min:700 Max:10000","0","0","7","true","false","227421","false","false","CB","750"
"Baltimore","82","Rare","RW","France","D1 Arkema","Paris SG","Min:700 Max:10000","0","0","7","true","false","261733","false","false","RM,RW,LW","750"
"Paula Fernández","82","Rare","CM","Spain","Liga F","Levante UD","Min:700 Max:10000","0","0","7","true","false","272007","false","false","CM,CAM","750"
"Isi Palazón","82","Rare","RM","Spain","LALIGA EA SPORTS","Rayo Vallecano","Min:700 Max:10000","0","0","7","true","false","232498","false","false","RM,RW","750"
"Provedel","82","Rare","GK","Italy","Serie A TIM","Latium","Min:700 Max:10000","0","0","7","true","false","224987","false","false","GK","750"
"Locatelli","82","Rare","CDM","Italy","Serie A TIM","Juventus","Min:700 Max:10000","0","0","7","true","false","222077","false","false","CDM,CM","750"
"Ricardo Horta","82","Rare","CAM","Portugal","Liga Portugal","SC Braga","Min:700 Max:10000","0","0","7","true","false","213516","false","false","CAM,CF,ST","750"
"Upamecano","82","Rare","CB","France","Bundesliga","FC Bayern München","Min:700 Max:10000","0","0","7","true","false","229558","false","false","CB","750"
"Sanchez","82","Rare","CAM","United States","NWSL","Washington Spirit","Min:700 Max:10000","0","0","7","true","false","266091","false","false","CAM,ST","850"
"Diogo Costa","82","Rare","GK","Portugal","Liga Portugal","FC Porto","Min:700 Max:10000","0","0","7","true","false","234577","false","false","GK","750"
"Jónsdóttir","82","Rare","RM","Iceland","GPFBL","VfL Wolfsburg","Min:700 Max:10000","0","0","7","true","false","266384","false","false","RM,RW,ST","750"
"Tsygankov","82","Rare","RM","Ukraine","LALIGA EA SPORTS","Girona FC","Min:700 Max:10000","0","0","7","true","false","244369","false","false","RM,CM,CAM,RW","750"
"Otamendi","82","Rare","CB","Argentina","Liga Portugal","SL Benfica","Min:700 Max:10000","0","0","7","true","false","192366","false","false","CB","750"
"Okafor","82","In-Progress Future Stars Evolution","ST","Switzerland","Serie A TIM","Milan","Min:1000 Max:10000","0","0","7","true","false","50574178","false","false","CAM,CF,ST","0"
"Malard","82","In-Progress Future Stars Evolution","LW","France","Barclays WSL","Manchester Utd","Min:1000 Max:10000","0","0","7","true","false","100922002","false","false","LM,ST,LW","0"
"Brobbey","82","In-Progress Future Stars Evolution","ST","Netherlands","Eredivisie","Ajax","Min:1000 Max:10000","0","0","7","true","false","100915106","false","false","CF,ST","0"
"Rodri","82","In-Progress Future Stars Evolution","LW","Spain","LALIGA EA SPORTS","Real Betis","Min:1000 Max:10000","0","0","7","true","false","50591329","false","false","RM,LM,CAM,LW","0"
"Bryan","82","In-Progress Future Stars Evolution","LW","Spain","Bundesliga","FC Bayern München","Min:1000 Max:10000","0","0","7","true","false","67380780","false","false","RM,LM,CAM,LW","0"
"Torres","82","In-Progress Future Stars Evolution","RM","Uruguay","MLS","Orlando City","Min:1000 Max:10000","0","0","7","true","false","50587784","false","false","RM,LM,RW","0"
"Ferreira","82","In-Progress Future Stars Evolution","ST","United States","MLS","FC Dallas","Min:1000 Max:10000","0","0","7","true","false","50573135","false","false","CAM,CF,ST","0"
"Dina Ebimbe","82","In-Progress Future Stars Evolution","RM","France","Bundesliga","Frankfurt","Min:1000 Max:10000","0","0","7","true","false","67357437","false","false","RWB,RM,CM,RW","0"
"Athenea","82","In-Progress Future Stars Evolution","RW","Spain","Liga F","Real Madrid CF","Min:1000 Max:10000","0","0","7","true","false","67368236","false","false","RM,RW,LW","0"
"Andrich","82","Rare","CDM","Germany","Bundesliga","Leverkusen","Min:700 Max:10000","0","0","7","true","false","212242","false","false","CDM,CM","750"
"Svava","82","In-Progress Future Stars Evolution","LB","Denmark","Liga F","Real Madrid CF","Min:1000 Max:10000","0","0","7","true","false","50596628","false","false","LB,LWB","0"
"Geertruida","82","In-Progress Future Stars Evolution","RB","Netherlands","Eredivisie","Feyenoord","Min:10000 Max:100000","0","0","7","true","false","50572835","false","false","RWB,RB,CB,CDM","0"
"Parisi","82","In-Progress Future Stars Evolution","LB","Italy","Serie A TIM","Fiorentina","Min:1000 Max:10000","0","0","7","true","false","50590624","false","false","LB,LWB","0"
"Beyer","82","In-Progress Future Stars Evolution","CB","Germany","Premier League","Burnley","Min:1000 Max:10000","0","0","7","true","false","50574308","false","false","CB","0"
"Kossounou","82","In-Progress Future Stars Evolution","CB","Ivory Coast","Bundesliga","Leverkusen","Min:1000 Max:10000","0","0","7","true","false","67355739","false","false","RWB,CB","0"
"Tolkin","82","In-Progress Future Stars Evolution","LB","United States","MLS","Red Bulls","Min:1000 Max:10000","0","0","7","true","false","50583482","false","false","LB,LWB,CDM","0"
"Wilms","82","In-Progress Future Stars Evolution","RB","Netherlands","GPFBL","VfL Wolfsburg","Min:1000 Max:10000","0","0","7","true","false","67362281","false","false","RWB,RB","0"
"Theate","82","In-Progress Future Stars Evolution","CB","Belgium","Ligue 1 Uber Eats","Stade Rennais FC","Min:1000 Max:10000","0","0","7","true","false","50588926","false","false","CB","0"
"Assignon","82","In-Progress Future Stars Evolution","RB","France","Premier League","Burnley","Min:1000 Max:10000","0","0","7","true","false","50592222","false","false","RWB,RB","0"
"Eric García","82","In-Progress Future Stars Evolution","CB","Spain","LALIGA EA SPORTS","Girona FC","Min:1000 Max:10000","0","0","7","true","false","67353901","false","false","CB,CDM","0"
"Hatch","82","Rare","ST","United States","NWSL","Washington Spirit","Min:700 Max:10000","0","0","7","true","false","243263","false","false","CAM,CF,ST","750"
"Lemar","82","Rare","CM","France","LALIGA EA SPORTS","Atlético de Madrid","Min:700 Max:10000","0","0","7","true","false","213565","false","false","CM,LM","750"
"Skipp","82","In-Progress Future Stars Evolution","CDM","England","Premier League","Spurs","Min:1000 Max:10000","0","0","7","true","false","50572690","false","false","CDM,CM","0"
"Ounahi","82","In-Progress Future Stars Evolution","CM","Morocco","Ligue 1 Uber Eats","OM","Min:1000 Max:10000","0","0","7","true","false","50586773","false","false","CM","0"
"Mariana Cerro","82","In-Progress Future Stars Evolution","CDM","Spain","Liga F","Athletic Club","Min:1000 Max:10000","0","0","7","true","false","50603779","false","false","CDM,CM","0"
